time,x,y,z,MF
2.137,2.82,-36.90,-5.16,37.37
2.149,2.82,-36.90,-5.16,37.37
2.156,2.82,-36.84,-5.16,37.31
2.167,2.82,-36.84,-5.16,37.31
2.176,2.82,-36.78,-5.22,37.26
2.203,2.82,-36.78,-5.22,37.26
2.206,2.82,-36.78,-5.28,37.26
2.207,2.82,-36.72,-5.28,37.20
2.224,2.82,-36.78,-5.28,37.26
2.235,2.82,-36.84,-5.34,37.33
2.236,2.82,-36.84,-5.34,37.33
2.248,2.88,-36.90,-5.40,37.40
2.264,2.88,-36.90,-5.40,37.40
2.281,2.88,-36.96,-5.34,37.45
2.282,2.88,-37.02,-5.34,37.51
2.298,2.88,-37.02,-5.28,37.51
2.299,2.88,-37.08,-5.22,37.56
2.316,2.88,-37.02,-5.16,37.49
2.317,2.88,-37.02,-5.10,37.48
2.333,2.88,-37.02,-5.04,37.47
2.349,2.88,-37.02,-4.98,37.46
2.352,2.88,-37.02,-4.86,37.45
2.367,2.88,-37.08,-4.74,37.49
2.370,2.88,-37.08,-4.74,37.49
2.391,2.94,-37.08,-4.68,37.49
2.393,2.88,-37.08,-4.62,37.48
2.412,2.88,-37.08,-4.62,37.48
2.415,2.82,-37.08,-4.56,37.47
2.416,2.76,-37.08,-4.56,37.46
2.425,2.64,-37.02,-4.62,37.40
2.434,2.58,-37.02,-4.74,37.41
2.446,2.46,-36.96,-4.80,37.35
2.454,2.40,-36.96,-4.86,37.36
2.471,2.34,-36.96,-4.92,37.36
2.474,2.22,-36.96,-4.98,37.36
2.486,2.22,-36.96,-5.10,37.38
2.496,2.16,-36.96,-5.22,37.39
2.507,2.22,-36.90,-5.28,37.34
2.514,2.22,-36.90,-5.22,37.33
2.526,2.28,-36.90,-5.28,37.35
2.537,2.34,-36.90,-5.28,37.35
2.547,2.40,-36.90,-5.28,37.35
2.559,2.46,-36.84,-5.28,37.30
2.572,2.58,-36.84,-5.28,37.31
2.576,2.70,-36.90,-5.22,37.37
2.600,2.76,-36.90,-5.22,37.37
2.602,2.82,-36.96,-5.16,37.42
2.616,2.88,-37.02,-5.16,37.49
2.618,2.94,-37.08,-5.16,37.55
2.625,3.00,-37.20,-5.10,37.67
2.636,3.00,-37.26,-5.10,37.73
2.645,3.00,-37.32,-5.10,37.79
2.655,3.00,-37.38,-5.10,37.85
2.664,3.06,-37.38,-5.10,37.85
2.684,3.00,-37.38,-5.10,37.85
2.686,3.00,-37.26,-5.10,37.73
2.695,3.00,-37.14,-5.10,37.61
2.704,2.94,-37.02,-5.10,37.49
2.713,2.94,-36.90,-5.10,37.37
2.724,2.94,-36.84,-5.04,37.30
2.732,2.94,-36.72,-4.98,37.17
2.743,2.88,-36.66,-4.92,37.10
2.758,2.88,-36.60,-4.86,37.03
2.764,2.82,-36.60,-4.74,37.01
2.776,2.82,-36.60,-4.68,37.01
2.784,2.82,-36.66,-4.62,37.06
2.794,2.82,-36.66,-4.56,37.05
2.806,2.76,-36.66,-4.56,37.05
2.812,2.76,-36.66,-4.56,37.05
2.824,2.76,-36.66,-4.62,37.05
2.832,2.76,-36.66,-4.74,37.07
2.844,2.76,-36.66,-4.86,37.08
2.864,2.76,-36.66,-4.92,37.09
2.865,2.76,-36.66,-4.98,37.10
2.886,2.76,-36.72,-5.04,37.17
2.889,2.76,-36.72,-5.10,37.18
2.893,2.76,-36.78,-5.16,37.24
2.906,2.76,-36.78,-5.16,37.24
2.912,2.76,-36.84,-5.16,37.30
2.923,2.76,-36.84,-5.16,37.30
2.933,2.76,-36.90,-5.16,37.36
2.943,2.76,-36.96,-5.22,37.43
2.953,2.82,-37.02,-5.22,37.49
2.964,2.82,-37.02,-5.22,37.49
2.987,2.82,-37.02,-5.16,37.48
2.988,2.88,-37.02,-5.16,37.49
2.992,2.88,-37.08,-5.16,37.55
3.003,2.88,-37.08,-5.16,37.55
3.012,2.88,-37.08,-5.16,37.55
